Date,Portfolio_Value,Benchmark_Value
2020-05-26,150603.49096224486,128776.2112863759
2020-05-27,151891.64576233024,129450.57822861153
2020-05-28,151939.64602036148,129667.01571095953
2020-05-29,151865.90825914402,129574.82158780334
2020-06-01,151345.3863191975,129593.75525107756
2020-06-02,152307.3768953383,130181.53121720642
2020-06-03,153477.28596860278,131139.10648652478
2020-06-04,153218.47315827355,130691.14747823455
2020-06-05,155662.55193579674,131939.27186157688
2020-06-08,156396.01269048225,132626.24577661
2020-06-09,155779.41687794792,132329.76562877232
2020-06-10,155116.99870733148,132179.06877274995
2020-06-11,149911.31041048223,129194.02052221108
2020-06-12,151418.78668963644,130176.9715486639
2020-06-15,152067.62051361628,130669.00295219978
2020-06-16,154052.74576072142,131735.3591587256
2020-06-17,153613.3237556478,131724.45321944333
2020-06-18,154029.66865224656,131981.55911996108
2020-06-19,153728.15234242723,131653.05132449852
2020-06-22,154009.81783973117,131937.73971714592
2020-06-23,154718.71612182705,132273.339759144
2020-06-24,152179.2163524952,130721.6819893445
2020-06-25,153768.57316579277,131722.21084670373
2020-06-26,151372.17355308562,130454.99858084923
2020-06-29,153232.31959812884,131413.99852990243
2020-06-30,153967.5546097309,131624.3160477655
2020-07-02,155029.55382563014,132359.34929294264
2020-07-03,154709.05448117948,132283.17361932408
2020-07-06,156268.94227685453,133233.46082880202
2020-07-07,155684.95008543035,132853.08827216105
2020-07-08,155707.73611666495,132621.2282576706
2020-07-09,155660.89312383276,132542.2795414494
2020-07-10,157014.12290901196,133320.07252931444
2020-07-13,156268.33219276086,132920.40317804366
2020-07-14,158347.54982409603,134133.4273251361
2020-07-15,158914.13252066367,134578.0219207517
2020-07-16,158822.96903227494,134693.3806809402
2020-07-17,159647.05544098548,135061.7906972996
2020-07-20,160177.13567560448,135383.45963837704
2020-07-21,159892.52197141954,135240.53966940663
2020-07-22,160231.5899925072,135269.4845338829
2020-07-23,158831.05783007474,134430.7959783585
2020-07-24,158565.41481047132,134201.15570544102
2020-07-27,159621.91804229008,134698.31921835663
2020-07-28,159384.04756763962,134600.54135545
2020-07-29,160814.78686572664,135278.80978590675
2020-07-30,161137.21803396993,135492.9219481288
2020-07-31,160642.17837787245,134643.41555973917
2020-08-04,162152.6415284687,135828.85817145288
2020-08-05,163042.75947008317,135967.52703456994
2020-08-06,164096.05423105985,136566.35517678247
2020-08-07,164317.70930309265,136668.5821102833
2020-08-10,164502.90034776894,136713.2207439596
2020-08-11,162501.72796353156,136043.96633068266
2020-08-12,163543.4445683349,136682.47278228786
2020-08-13,163075.1127489534,136057.42273313788
2020-08-14,163251.61164834042,136119.40879595483
2020-08-17,163976.20381601082,136460.5915316404
2020-08-18,164049.60637515376,136486.9168483655
2020-08-19,163284.07217783292,136288.0065828367
2020-08-20,163522.18547637106,136311.49180971415
2020-08-21,163287.63047662526,136184.96663563084
2020-08-24,164705.4471467283,137095.6452877958
2020-08-25,164728.79242766276,136924.6115573078
2020-08-26,166026.3834594199,137456.8931217585
2020-08-27,165524.86468482646,136872.9333869209
2020-08-28,165922.62633613127,137078.4179061891
2020-08-31,164489.91497927433,136342.11296366467
2020-09-01,165848.962767476,137251.33092441657
2020-09-02,166956.06502377818,138287.7938413432
2020-09-03,163852.64356356912,136563.11591490384
2020-09-04,161878.04687989806,135527.40642422886
2020-09-08,160594.66558782096,134901.30050397568
2020-09-09,162874.4940220871,136091.01435447304
2020-09-10,161075.1476259248,135266.69066786134
2020-09-11,161345.13728890335,135676.2726644543
2020-09-14,162697.70528897102,136270.78969069503
2020-09-15,163408.04085794478,136714.76364045806
2020-09-16,162407.36107866335,136215.96777622693
2020-09-17,161390.43662807788,135845.99249083927
2020-09-18,160759.0643229389,135428.91143852533
2020-09-21,159476.37517196345,134693.18288424192
2020-09-22,160772.8058639728,135240.95747709574
2020-09-23,158344.9026926142,134279.52644211223
2020-09-24,158685.76348679725,134297.07144532952
2020-09-25,160602.03517307094,135192.3174443238
2020-09-28,162469.03345512174,136127.34609805304
2020-09-29,162234.14793402917,136035.15669594114
2020-09-30,161622.89417856376,135497.6695728228
2020-10-01,162136.84979699797,135793.45208419976
2020-10-02,161799.4406042015,135665.01013249185
2020-10-05,163732.9205967606,136495.0443570753
2020-10-06,162033.2509250792,135907.31319364088
2020-10-07,163913.477042604,136712.94488348567
2020-10-08,164576.75886888988,137001.6736062581
2020-10-09,164870.13895572428,137057.43831322846
2020-10-13,165142.5961716094,137290.36000068163
2020-10-14,164479.94059398666,137000.4586964174
2020-10-15,165105.65940388714,137111.15127523366
2020-10-16,164598.42723548875,137032.1158402381
2020-10-19,162897.1005458494,136124.21888650942
